Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,B000330.1,Bộ khớp gối toàn phần có xi măng loại di động,Khớp gối 13,5,"70,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,0.00,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000592.2,Bộ khớp gối toàn phần cố định bảo tồn dây chằng chéo,Khớp gối 14,4,"69,500,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,Vương quốc Liên hiệp Anh,126.67,45,57,57,0,5,6,8,8,7,11,0,0,8,4,0
,B000527.2,Bộ khớp gối toàn phần cố định có trục cam chống trượt,Khớp gối 15,4,"69,500,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,Vương quốc Liên hiệp Anh,130.00,40,52,52,1,1,0,2,1,1,11,10,6,7,6,6
,B000589,Bộ khớp gối toàn phần có xi măng bảo tồn xương,Khớp gối 16,1,"48,500,000",CÔNG TY TNHH Y TẾ VIỆT TIẾN,MAXX ORTHOPEDICS INC.,Mỹ,0.00,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khớp háng các loại, các cỡ ",67,,,,,,,,,,,,,,,,,,,,,,,
15,"Khớp háng bán phần các loại, các cỡ",Không xi măng,,11,Có xi măng,4,,,,,,,,,,,,,,,,,,
,B000029.1,Bộ khớp háng bán phần không xi măng loại 5,Khớp háng bán phần  1,3,"43,900,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,33.33,30,10,10,1,0,0,0,0,0,0,2,2,3,0,2
,B000538.1,Bộ khớp háng bán phần không xi chuôi dài loại 2,Khớp háng bán phần 2,3,"60,600,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith&
 Nephew Inc",Mỹ,20.00,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0
,B000539.1,Bộ khớp háng bán phần không xi măng loại 4,Khớp háng bán phần 3,3,"38,560,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith&
 Nephew Inc",Thụy Sĩ,90.00,30,27,27,2,0,0,0,0,3,3,1,9,0,6,3
,B000189.1,Bộ khớp háng bán phần không xi măng loại 6,Khớp háng bán phần 4,1,"50,000,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ HẢI ĐĂNG VÀNG,Mathys Ltd Bettlach,Thụy Sỹ,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000637.1,Bộ khớp háng bán phần không xi măng loại 1,Khớp háng bán phần 5,3,"42,200,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ VÀ VẬT TƯ Y TẾ HÀ NỘI,Atesos,Thụy Sỹ,100.00,30,30,30,4,8,15,3,0,0,0,0,0,0,0,0
,B000300,Bộ khớp háng bán phần không xi măng loại 3,Khớp háng bán phần 6,3,"41,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,130.00,20,26,26,6,6,1,6,1,0,0,0,0,0,4,2
,B000300.4,"Bộ khớp háng bán phần không xi măng, góc cổ chuôi 133/138 độ",Khớp háng bán phần 7,3,"38,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,110.00,20,22,22,0,0,0,0,1,4,3,3,5,2,0,4
,B000301.2,"Bộ khớp háng bán phần không xi măng, loại chuôi dạng mô đun, tuỳ chỉnh 360 độ, các cỡ",Khớp háng bán phần 8,5,"79,000,000",CÔNG TY TNHH HÀ NỘI IEC,Peter Brehm,Đức,25.00,20,5,5,0,1,0,0,0,0,0,1,0,0,3,0
,B000331.1,Bộ khớp háng bán phần không xi măng tự định tâm,Khớp háng bán phần 9,3,"49,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,62.00,50,31,31,1,3,0,12,6,3,4,2,0,0,0,0
,B000498.1,Bộ khớp háng bán phần không xi măng loại 2,Khớp háng bán phần 10,3,"39,790,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,100.00,10,10,10,0,0,1,1,0,0,0,1,0,7,0,0
,B000529.1,"Bộ khớp háng bán phần không xi măng, chuôi dài dạng thẳng góc cổ 130 độ",Khớp háng bán phần 11,3,"58,290,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,33.33,30,10,10,0,1,0,0,1,4,0,0,0,2,0,2
,B000295.5,"Bộ khớp háng bán phần có xi măng, chuôi bóng, góc cổ chuôi 135 độ",Khớp háng bán phần xi 1,5,"37,200,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,80.00,30,24,21,0,0,2,1,1,0,1,4,3,5,1,3
,B000332.1,Bộ khớp háng bán phần có xi măng,Khớp háng bán phần xi 2,3,"39,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,0.00,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000030.1,Bộ khớp háng bán phần có xi măng chuôi ngắn tự định tâm,Khớp háng bán phần xi 3,6,"41,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,33.33,15,5,5,0,0,0,1,0,0,2,1,0,0,0,1
,B000540.1,Bộ khớp háng bán phần có xi măng. góc cổ chuôi 135 độ,Khớp háng bán phần xi 4,5,"38,280,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith&
 Nephew Inc",Pháp,125.00,20,25,25,1,7,4,1,4,2,1,0,0,0,5,0
52,"Khớp háng toàn phần các loại, các cỡ",100% không xi măng ,,,,,,,,,,,,,,,,,,,,,,
,B000031.1,Bộ khớp háng toàn phần không xi măng 2 chuyển động loại 1,Khớp háng toàn phần 1,6,"84,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,15.00,40,6,6,0,0,0,0,0,0,0,0,0,0,0,6
,B000033.1,Bộ khớp háng toàn phần không xi măng loại 16,Khớp háng toàn phần 2,5,"87,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,130.00,10,13,13,0,5,0,4,0,0,0,1,0,0,0,3
,B000034.1,Bộ khớp háng toàn phần không xi măng loại 15,Khớp háng toàn phần 3,5,"79,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,130.00,40,52,52,0,0,0,0,0,2,13,8,7,7,9,6
,B000035.1,Bộ khớp háng toàn phần không xi măng chỏm lớn loại 1,Khớp háng toàn phần 4,5,"69,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000036.1,Bộ khớp háng toàn phần không xi măng chỏm lớn loại 2,Khớp háng toàn phần 5,5,"69,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000037.1,Bộ khớp háng toàn phần không xi măng chỏm lớn loại 3,Khớp háng toàn phần 6,5,"69,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,23.08,65,15,15,1,1,0,2,0,0,3,5,1,0,1,1
,B000044.1,Bộ khớp háng toàn phần không xi măng loại 11,Khớp háng toàn phần 7,5,"62,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,"b-ONE Ortho, Corp.",Mỹ,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000541.1,Bộ khớp háng toàn phần không xi măng loại 8,Khớp háng toàn phần 8,5,"74,460,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith&
 Nephew Inc",Thụy Sĩ,82.86,35,29,29,0,3,2,4,1,3,5,1,1,3,2,4
,B000191.1,Bộ khớp háng toàn phần không xi măng loại 14,Khớp háng toàn phần 9,1,75000000,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ HẢI ĐĂNG VÀNG,Mathys Ltd Bettlach,Thụy Sỹ,100.00,10,10,10,2,0,4,2,2,0,0,0,0,0,0,0
,B000194.1,Bộ khớp háng toàn phần không xi măng loại 2,Khớp háng toàn phần 10,5,"70,550,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ VÀ VẬT TƯ Y TẾ HÀ NỘI,Atesos,Thụy Sỹ,30.00,40,12,12,0,0,1,2,1,2,0,3,3,0,0,0
,B000195.1,Bộ khớp háng toàn phần không xi măng loại 1,Khớp háng toàn phần 11,5,"79,350,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ VÀ VẬT TƯ Y TẾ HÀ NỘI,Atesos,Thụy Sỹ,76.67,60,46,46,1,0,2,5,5,3,8,16,6,0,0,0
,B000210.1,Bộ khớp háng toàn phần không xi măng. chuôi dạng giải phẫu học. góc cổ thân chuôi 126 độ loại 1,Khớp háng toàn phần 12,4,"95,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,49.33,150,74,74,1,6,4,5,5,9,4,11,7,10,6,6
,B000211.1,Bộ khớp háng toàn phần không xi măng. chuôi dạng giải phẫu học. góc cổ thân chuôi 126 độ loại 2,Khớp háng toàn phần 13,4,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,100.00,30,30,30,2,2,1,4,6,1,3,1,2,3,5,0
,B000212.1,Bộ khớp háng toàn phần không xi măng. chuôi giải phẫu học. góc cổ thân chuôi 126 độ,Khớp háng toàn phần 14,4,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,15.00,20,3,3,0,0,0,0,0,0,0,0,0,0,1,2
,B000213.1,Bộ khớp háng toàn phần không xi măng. góc cổ thân chuôi 130 độ loại 4,Khớp háng toàn phần 15,4,"65,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,20.00,20,4,4,1,1,0,0,0,0,1,0,0,1,0,0
,B000214.1,Bộ khớp háng toàn phần không xi măng. góc cổ thân chuôi 130 độ loại 3,Khớp háng toàn phần 16,4,"85,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,97.00,100,97,97,7,3,14,7,6,6,5,11,5,9,12,12
,B000303,"Bộ khớp háng toàn phần thay lại không xi măng, chuôi dạng mô đun, dài 260mm, có vít chốt đầu xa, ổ cối in 3D loại 2",Khớp háng toàn phần 17,8,"133,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,33.33,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,B000278.3,"Bộ khớp háng toàn phần không xi măng, góc cổ chuôi 133/135/138 độ, chỏm 32/36mm loại 1",Khớp háng toàn phần 18,5,"80,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,0.00,20,0,0,0,,,,,,,,,,,
,B000309.3,"Bộ khớp háng toàn phần không xi măng, góc cổ chuôi 133/135/138 độ loại 1",Khớp háng toàn phần 19,4,"72,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000310.2,"Bộ khớp háng toàn phần không xi măng, góc cổ chuôi 133/135/138 độ, ổ cối công nghệ in 3D loại 3",Khớp háng toàn phần 20,5,"75,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,34.29,35,12,12,2,0,0,0,0,0,0,2,5,1,0,2
,B000312.2,"Bộ khớp háng toàn phần không xi măng, chỏm 32/36mm, góc cổ chuôi 133/135/138 độ",Khớp háng toàn phần 21,5,"73,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,100.00,10,10,10,0,0,0,0,0,0,0,0,1,9,0,0
