Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,A24031,Khung giá đỡ (stent) nội mạch chặn dòng chảy trong túi phình mạch não ,Stent đổi dòng loại 3,1,"215,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN Y TẾ VIỆT NHẬT,"MicroVention, Inc.",Hoa Kỳ,0.00,5,,,0,0,0,0,0,0,0,0,0,0,0,0
,A24041,Khung giá đỡ (Stent) thay đổi dòng chảy ,Stent đổi dòng loại 4,1,"171,000,000",CÔNG TY TNHH VINACATECH,Phenox GmbH,Đức,17.14,70,12,12,4,1,7,0,0,0,0,0,0,0,0,0
,A24061,"Khung giá đỡ (Stent) nội mạch làm thay đổi hướng dòng chảy, kích thước nhỏ.",Stent đổi dòng loại 5,1,"28,500,000",CÔNG TY TNHH SANG THU,Balt Extrusion SAS,Mỹ,10.00,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,A24051,Khung giá đỡ (Stent) nội mạch làm thay đổi hướng dòng chảy mạch máu não,Stent đổi dòng loại 6,1,"28,500,000",CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN Y TẾ VIỆT NHẬT,MicroVention Costa Rica S.R.L.,Mỹ,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.090,10,"Khung giá đỡ (stent có màng bọc, cover stent) các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A28011,Khung giá đỡ (stent) có màng bọc dùng cho can thiệp mạch máu,Stent màng bọc loại 1,1,"28,500,000",CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC KIM HÒA PHÁT,"Bentley
Innomed
GmbH",Mỹ,4.00,50,2,2,0,1,1,0,0,0,0,0,0,0,0,0
,A27031,"Khung giá đỡ (stent) động mạch có màng bọc, bung bằng bóng cho điều trị tổn thương xơ vữa động mạch chậu",Stent màng bọc loại 2,1,"28,500,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,ClearStream Technologies LTD,Mỹ,10.00,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0
,A28031,Khung giá đỡ (Stent) động mạch ngoại biên có màng bọc,Stent màng bọc loại 3,1,"28,500,000",CÔNG TY CỔ PHẦN HANMEDIC VIỆT NAM,Scitech Produtos Medicos SA,Mỹ,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A28021,"Khung giá đỡ (stent) động mạch ngoại biên có màng bọc cho điều trị phình, hẹp động mạch.",Stent màng bọc loại 4,1,"28,500,000",CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC KIM HÒA PHÁT,"Bentley
Innomed
GmbH",Mỹ,6.67,30,2,2,0,1,1,0,0,0,0,0,0,0,0,0
,A25081,"Stent đường mật, sợi kép, có cover các số",Stent màng bọc loại 5,1,"28,500,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HAT-MED VIỆT NAM,S&G Biotech Inc.,Mỹ,8.00,25,2,2,2,0,0,0,0,0,0,0,0,0,0,0
,A25101,Stent kim loại đường mật phủ toàn phần hoặc một phần hoặc không phủ các cỡ,Stent màng bọc loại 6,1,"28,500,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HAT-MED VIỆT NAM,Boston Scientific Limited,Mỹ,20.87,230,48,48,11,9,28,0,0,0,0,0,0,0,0,0
,A25161,Stent thực quản có cover một phần hoặc toàn phần,Stent màng bọc loại 7,1,"28,500,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HAT-MED VIỆT NAM,Boston Scientific Limited,Mỹ,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
